Name,ID
EXCHANGE ONLINE (PLAN 1),providencegroup:EXCHANGESTANDARD
EXCHANGE ONLINE (PLAN 2),providencegroup:EXCHANGEENTERPRISE
MICROSOFT 365 APPS FOR BUSINESS,providencegroup:O365_BUSINESS
MICROSOFT 365 APPS FOR ENTERPRISE,providencegroup:OFFICESUBSCRIPTION
Microsoft 365 Business Standard,providencegroup:O365_BUSINESS_PREMIUM
MICROSOFT 365 BUSINESS BASIC,providencegroup:O365_BUSINESS_ESSENTIALS
Microsoft 365 E3,providencegroup:SPE_E3
Microsoft Power Apps Plan 2 Trial,providencegroup:POWERAPPS_VIRAL
MICROSOFT TEAMS EXPLORATORY,providencegroup:TEAMS_EXPLORATORY
Office 365 E1,providencegroup:STANDARDPACK
Office 365 E3,providencegroup:ENTERPRISEPACK
